geoid,geoid20,year,vacant_residential_count,vacant_commercial_count
1400000US06037119342,6037119342,2021,0,0
1400000US06037119400,6037119400,2021,3,2
1400000US06037119700,6037119700,2021,3,1
1400000US06037119801,6037119801,2021,3,4
1400000US06037119802,6037119802,2021,4,4
1400000US06037119900,6037119900,2021,1,2
1400000US06037120010,6037120010,2021,2,0
1400000US06037120020,6037120020,2021,4,22
1400000US06037120030,6037120030,2021,8,13
1400000US06037120103,6037120103,2021,3,0
1400000US06037120104,6037120104,2021,1,5
1400000US06037120105,6037120105,2021,0,4
1400000US06037120106,6037120106,2021,5,0
1400000US06037120107,6037120107,2021,1,0
1400000US06037120108,6037120108,2021,2,0
1400000US06037120300,6037120300,2021,2,15
1400000US06037120400,6037120400,2021,4,3
1400000US06037121010,6037121010,2021,8,1
1400000US06037121020,6037121020,2021,6,1
1400000US06037121101,6037121101,2021,1,4
1400000US06037121102,6037121102,2021,8,49
1400000US06037121210,6037121210,2021,4,7
1400000US06037121221,6037121221,2021,3,0
1400000US06037121222,6037121222,2021,8,7
1400000US06037121600,6037121600,2021,4,2
1400000US06037121801,6037121801,2021,19,1
1400000US06037121802,6037121802,2021,5,0
1400000US06037121900,6037121900,2021,59,5
1400000US06037122000,6037122000,2021,14,17
1400000US06037122120,6037122120,2021,4,0
1400000US06037122121,6037122121,2021,2,0
1400000US06037122122,6037122122,2021,5,6
1400000US06037122200,6037122200,2021,2,11
1400000US06037122410,6037122410,2021,6,3
1400000US06037122420,6037122420,2021,1,4
1400000US06037123010,6037123010,2021,9,4
1400000US06037123020,6037123020,2021,2,1
1400000US06037123103,6037123103,2021,7,6
1400000US06037123104,6037123104,2021,18,7
1400000US06037123203,6037123203,2021,13,0
1400000US06037123204,6037123204,2021,15,10
1400000US06037123205,6037123205,2021,8,20
1400000US06037123206,6037123206,2021,9,24
1400000US06037123301,6037123301,2021,14,5
1400000US06037123303,6037123303,2021,7,1
1400000US06037123304,6037123304,2021,19,0
1400000US06037123410,6037123410,2021,1,0
1400000US06037123420,6037123420,2021,6,0
1400000US06037123510,6037123510,2021,6,1
1400000US06037123520,6037123520,2021,5,0
1400000US06037123601,6037123601,2021,2,2
1400000US06037123602,6037123602,2021,6,0
1400000US06037123700,6037123700,2021,14,1
1400000US06037123800,6037123800,2021,29,15
1400000US06037123901,6037123901,2021,18,34
1400000US06037123902,6037123902,2021,3,1
1400000US06037124000,6037124000,2021,41,2
1400000US06037124102,6037124102,2021,26,9
1400000US06037124103,6037124103,2021,2,1
1400000US06037124104,6037124104,2021,21,3
1400000US06037124105,6037124105,2021,12,1
1400000US06037124201,6037124201,2021,23,5
1400000US06037124203,6037124203,2021,22,0
1400000US06037124204,6037124204,2021,21,2
1400000US06037124300,6037124300,2021,18,22
1400000US06037124400,6037124400,2021,40,1
1400000US06037124500,6037124500,2021,2,0
1400000US06037124600,6037124600,2021,46,3
1400000US06037124700,6037124700,2021,9,11
1400000US06037124902,6037124902,2021,16,4
1400000US06037124903,6037124903,2021,23,1
1400000US06037125101,6037125101,2021,17,2
1400000US06037125102,6037125102,2021,16,2
1400000US06037125200,6037125200,2021,38,2
1400000US06037125310,6037125310,2021,38,43
1400000US06037125321,6037125321,2021,14,4
1400000US06037125322,6037125322,2021,20,6
1400000US06037125402,6037125402,2021,28,14
1400000US06037125403,6037125403,2021,17,6
1400000US06037125404,6037125404,2021,22,7
1400000US06037125501,6037125501,2021,38,4
1400000US06037125502,6037125502,2021,34,8
1400000US06037125600,6037125600,2021,10,0
1400000US06037127102,6037127102,2021,6,8
1400000US06037127103,6037127103,2021,12,2
1400000US06037127104,6037127104,2021,16,0
1400000US06037127210,6037127210,2021,10,11
1400000US06037127220,6037127220,2021,2,14
1400000US06037127300,6037127300,2021,1,2
1400000US06037127400,6037127400,2021,17,22
1400000US06037127520,6037127520,2021,0,1
1400000US06037127603,6037127603,2021,5,1
1400000US06037127604,6037127604,2021,12,8
1400000US06037127605,6037127605,2021,25,2
1400000US06037127606,6037127606,2021,3,0
1400000US06037127711,6037127711,2021,7,2
1400000US06037127712,6037127712,2021,4,8
1400000US06037127803,6037127803,2021,6,11
1400000US06037127804,6037127804,2021,7,5
1400000US06037127805,6037127805,2021,1,1
1400000US06037127806,6037127806,2021,6,14
1400000US06037127910,6037127910,2021,5,4
1400000US06037127920,6037127920,2021,7,0
1400000US06037128101,6037128101,2021,3,0
1400000US06037128102,6037128102,2021,13,6
1400000US06037128210,6037128210,2021,20,54
1400000US06037128220,6037128220,2021,4,0
1400000US06037128302,6037128302,2021,17,2
1400000US06037128303,6037128303,2021,6,6
1400000US06037128400,6037128400,2021,3,33
1400000US06037128500,6037128500,2021,6,2
1400000US06037128601,6037128601,2021,8,2
1400000US06037128602,6037128602,2021,12,2
1400000US06037128703,6037128703,2021,10,10
1400000US06037128704,6037128704,2021,11,10
1400000US06037128801,6037128801,2021,10,6
1400000US06037128802,6037128802,2021,8,0
1400000US06037128910,6037128910,2021,24,5
1400000US06037131021,6037131021,2021,3,1
1400000US06037131022,6037131022,2021,2,1
1400000US06037131023,6037131023,2021,4,6
1400000US06037131024,6037131024,2021,5,8
1400000US06037131100,6037131100,2021,4,0
1400000US06037131200,6037131200,2021,8,0
1400000US06037131300,6037131300,2021,2,11
1400000US06037131400,6037131400,2021,8,2
1400000US06037131600,6037131600,2021,4,5
1400000US06037131701,6037131701,2021,6,0
1400000US06037131702,6037131702,2021,11,1
1400000US06037131801,6037131801,2021,1,2
1400000US06037131802,6037131802,2021,2,3
1400000US06037131900,6037131900,2021,1,4
1400000US06037132001,6037132001,2021,3,0
1400000US06037132002,6037132002,2021,1,1
1400000US06037132101,6037132101,2021,2,5
1400000US06037132102,6037132102,2021,7,10
1400000US06037132301,6037132301,2021,2,6
1400000US06037132302,6037132302,2021,3,6
1400000US06037132501,6037132501,2021,7,0
1400000US06037132502,6037132502,2021,19,1
1400000US06037132700,6037132700,2021,2,16
1400000US06037132900,6037132900,2021,8,0
1400000US06037133000,6037133000,2021,3,1
1400000US06037133101,6037133101,2021,6,5
1400000US06037133102,6037133102,2021,8,6
1400000US06037134001,6037134001,2021,4,9
1400000US06037134002,6037134002,2021,2,0
1400000US06037134101,6037134101,2021,6,0
1400000US06037134103,6037134103,2021,2,0
1400000US06037134104,6037134104,2021,7,4
1400000US06037134201,6037134201,2021,4,7
1400000US06037134302,6037134302,2021,5,1
1400000US06037134303,6037134303,2021,12,63
1400000US06037134304,6037134304,2021,6,3
1400000US06037134305,6037134305,2021,4,1
1400000US06037134306,6037134306,2021,5,15
1400000US06037134421,6037134421,2021,5,0
1400000US06037134422,6037134422,2021,6,37
1400000US06037134423,6037134423,2021,7,1
1400000US06037134424,6037134424,2021,1,0
1400000US06037134520,6037134520,2021,14,37
1400000US06037134521,6037134521,2021,8,17
1400000US06037134522,6037134522,2021,1,16
1400000US06037134710,6037134710,2021,1,4
1400000US06037134720,6037134720,2021,2,5
1400000US06037134801,6037134801,2021,3,3
1400000US06037134802,6037134802,2021,3,3
1400000US06037134901,6037134901,2021,6,1
1400000US06037134904,6037134904,2021,3,2
1400000US06037134905,6037134905,2021,18,36
1400000US06037134906,6037134906,2021,9,6
1400000US06037134907,6037134907,2021,21,13
1400000US06037135102,6037135102,2021,9,8
1400000US06037135111,6037135111,2021,4,16
1400000US06037135113,6037135113,2021,10,5
1400000US06037135115,6037135115,2021,4,22
1400000US06037135116,6037135116,2021,13,63
1400000US06037135201,6037135201,2021,5,6
1400000US06037135202,6037135202,2021,8,4
1400000US06037135204,6037135204,2021,8,2
1400000US06037135205,6037135205,2021,11,2
1400000US06037137000,6037137000,2021,0,0
1400000US06037137103,6037137103,2021,16,66
1400000US06037137104,6037137104,2021,2,30
1400000US06037137202,6037137202,2021,16,6
1400000US06037137203,6037137203,2021,20,8
1400000US06037137301,6037137301,2021,6,2
1400000US06037137302,6037137302,2021,11,0
1400000US06037137401,6037137401,2021,14,21
1400000US06037137402,6037137402,2021,10,5
1400000US06037137501,6037137501,2021,20,36
1400000US06037137502,6037137502,2021,15,64
1400000US06037137504,6037137504,2021,12,0
1400000US06037138000,6037138000,2021,31,0
1400000US06037139001,6037139001,2021,29,2
1400000US06037139200,6037139200,2021,30,1
1400000US06037139301,6037139301,2021,29,8
1400000US06037139302,6037139302,2021,45,0
1400000US06037139303,6037139303,2021,27,8
1400000US06037139401,6037139401,2021,39,71
1400000US06037139402,6037139402,2021,17,24
1400000US06037139502,6037139502,2021,22,6
1400000US06037139504,6037139504,2021,29,5
1400000US06037139505,6037139505,2021,14,2
1400000US06037139506,6037139506,2021,16,3
1400000US06037139600,6037139600,2021,44,85
1400000US06037139701,6037139701,2021,40,177
1400000US06037139703,6037139703,2021,27,0
1400000US06037139704,6037139704,2021,44,0
1400000US06037139705,6037139705,2021,21,0
1400000US06037139801,6037139801,2021,13,0
1400000US06037139802,6037139802,2021,20,0
1400000US06037141101,6037141101,2021,15,16
1400000US06037141102,6037141102,2021,18,16
1400000US06037141201,6037141201,2021,23,10
1400000US06037141202,6037141202,2021,23,9
1400000US06037141303,6037141303,2021,10,2
1400000US06037141304,6037141304,2021,17,17
1400000US06037141305,6037141305,2021,11,25
1400000US06037141306,6037141306,2021,10,22
1400000US06037141400,6037141400,2021,41,77
1400000US06037141500,6037141500,2021,27,0
1400000US06037141600,6037141600,2021,6,0
1400000US06037141700,6037141700,2021,14,0
1400000US06037143101,6037143101,2021,40,13
1400000US06037143102,6037143102,2021,11,4
1400000US06037143200,6037143200,2021,18,8
1400000US06037143301,6037143301,2021,27,1
1400000US06037143302,6037143302,2021,49,2
1400000US06037143401,6037143401,2021,27,4
1400000US06037143402,6037143402,2021,15,2
1400000US06037143500,6037143500,2021,46,1
1400000US06037143602,6037143602,2021,28,13
1400000US06037143603,6037143603,2021,17,0
1400000US06037143605,6037143605,2021,12,1
1400000US06037143606,6037143606,2021,8,1
1400000US06037143700,6037143700,2021,29,26
1400000US06037143801,6037143801,2021,36,13
1400000US06037143802,6037143802,2021,29,10
1400000US06037143901,6037143901,2021,47,12
1400000US06037143902,6037143902,2021,26,13
1400000US06037181000,6037181000,2021,8,43
1400000US06037181300,6037181300,2021,7,0
1400000US06037181400,6037181400,2021,5,17
1400000US06037181500,6037181500,2021,5,2
1400000US06037181600,6037181600,2021,3,0
1400000US06037183101,6037183101,2021,18,0
1400000US06037183103,6037183103,2021,6,1
1400000US06037183104,6037183104,2021,5,0
1400000US06037183220,6037183220,2021,6,0
1400000US06037183221,6037183221,2021,6,0
1400000US06037183222,6037183222,2021,7,3
1400000US06037183300,6037183300,2021,6,1
1400000US06037183401,6037183401,2021,4,4
1400000US06037183402,6037183402,2021,5,2
1400000US06037183510,6037183510,2021,7,0
1400000US06037183520,6037183520,2021,5,0
1400000US06037183610,6037183610,2021,4,2
1400000US06037183620,6037183620,2021,9,2
1400000US06037183701,6037183701,2021,5,0
1400000US06037183702,6037183702,2021,13,5
1400000US06037183810,6037183810,2021,37,4
1400000US06037183820,6037183820,2021,5,0
1400000US06037185101,6037185101,2021,11,0
1400000US06037185102,6037185102,2021,19,1
1400000US06037185202,6037185202,2021,27,1
1400000US06037185203,6037185203,2021,25,2
1400000US06037185204,6037185204,2021,15,0
1400000US06037185310,6037185310,2021,15,4
1400000US06037185320,6037185320,2021,27,10
1400000US06037186100,6037186100,2021,13,3
1400000US06037186201,6037186201,2021,3,10
1400000US06037186202,6037186202,2021,5,4
1400000US06037186203,6037186203,2021,23,0
1400000US06037186301,6037186301,2021,18,1
1400000US06037186302,6037186302,2021,28,1
1400000US06037186401,6037186401,2021,37,24
1400000US06037186403,6037186403,2021,20,13
1400000US06037186404,6037186404,2021,3,16
1400000US06037187101,6037187101,2021,7,3
1400000US06037187102,6037187102,2021,15,6
1400000US06037187200,6037187200,2021,9,12
1400000US06037187300,6037187300,2021,30,12
1400000US06037188100,6037188100,2021,32,11
1400000US06037188201,6037188201,2021,10,2
1400000US06037188202,6037188202,2021,10,0
1400000US06037188300,6037188300,2021,10,0
1400000US06037189101,6037189101,2021,23,1
1400000US06037189102,6037189102,2021,41,3
1400000US06037189201,6037189201,2021,32,3
1400000US06037189202,6037189202,2021,12,0
1400000US06037189300,6037189300,2021,29,0
1400000US06037189400,6037189400,2021,35,0
1400000US06037189501,6037189501,2021,25,1
1400000US06037189502,6037189502,2021,18,0
1400000US06037189600,6037189600,2021,21,0
1400000US06037189702,6037189702,2021,34,0
1400000US06037189703,6037189703,2021,14,17
1400000US06037189704,6037189704,2021,4,5
1400000US06037189801,6037189801,2021,8,1
1400000US06037189802,6037189802,2021,6,0
1400000US06037189903,6037189903,2021,8,0
1400000US06037189904,6037189904,2021,19,2
1400000US06037189905,6037189905,2021,2,5
1400000US06037189906,6037189906,2021,13,3
1400000US06037189907,6037189907,2021,11,2
1400000US06037190101,6037190101,2021,11,9
1400000US06037190102,6037190102,2021,19,15
1400000US06037190201,6037190201,2021,3,42
1400000US06037190202,6037190202,2021,63,25
