geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037113231,6037113231,2021,2230,1919,86.05381
1400000US06037113232,6037113232,2021,4843,4553,94.011978
1400000US06037113234,6037113234,2021,5314,4720,88.821983
1400000US06037113235,6037113235,2021,1676,1608,95.942719
1400000US06037113237,6037113237,2021,4944,4535,91.727348
1400000US06037113238,6037113238,2021,4165,3631,87.178871
1400000US06037113239,6037113239,2021,2328,1836,78.865982
1400000US06037113301,6037113301,2021,4172,3494,83.748802
1400000US06037113303,6037113303,2021,3754,3383,90.11721
1400000US06037113322,6037113322,2021,4382,4264,97.307167
1400000US06037113323,6037113323,2021,3811,3381,88.716873
1400000US06037113324,6037113324,2021,2919,2827,96.848236
1400000US06037113423,6037113423,2021,3209,2762,86.070427
1400000US06037113424,6037113424,2021,3190,2968,93.040749
1400000US06037113425,6037113425,2021,4479,3854,86.04599
1400000US06037113426,6037113426,2021,2390,2305,96.443512
1400000US06037113427,6037113427,2021,2156,1882,87.291283
1400000US06037113428,6037113428,2021,3972,3738,94.108765
1400000US06037115101,6037115101,2021,5031,4868,96.760086
1400000US06037115103,6037115103,2021,20,20,100
1400000US06037115104,6037115104,2021,4474,3509,78.430931
1400000US06037115202,6037115202,2021,5945,5328,89.621529
1400000US06037115203,6037115203,2021,2076,1728,83.236992
1400000US06037115204,6037115204,2021,3815,3492,91.533424
1400000US06037115301,6037115301,2021,4607,4032,87.51899
1400000US06037115302,6037115302,2021,3599,3493,97.054741
1400000US06037115401,6037115401,2021,6101,5688,93.230621
1400000US06037115403,6037115403,2021,3306,3117,94.283119
1400000US06037115404,6037115404,2021,2769,2458,88.768509
1400000US06037117101,6037117101,2021,5077,4632,91.234978
1400000US06037117102,6037117102,2021,2616,2505,95.756882
1400000US06037117201,6037117201,2021,4425,4139,93.53672
1400000US06037117202,6037117202,2021,2788,2480,88.952652
1400000US06037117301,6037117301,2021,3719,3371,90.642647
1400000US06037117302,6037117302,2021,4709,4169,88.5326
1400000US06037117303,6037117303,2021,4455,4380,98.316498
1400000US06037117404,6037117404,2021,5392,4636,85.979225
1400000US06037117405,6037117405,2021,3328,2987,89.753609
1400000US06037117407,6037117407,2021,3669,3422,93.267921
1400000US06037117408,6037117408,2021,2551,2378,93.218346
1400000US06037117510,6037117510,2021,3838,3149,82.047943
1400000US06037117520,6037117520,2021,4231,3997,94.469391
1400000US06037117530,6037117530,2021,6040,5694,94.271523
1400000US06037119001,6037119001,2021,4368,3961,90.682236
1400000US06037119003,6037119003,2021,4000,3946,98.650002
1400000US06037119004,6037119004,2021,3398,3274,96.350792
